Rank,Country,Value
45,ARG,34.27723
20,AUS,1.911401
20,AUT,1.998382
21,BEL,2.053165
40,BRA,3.66485
26,CAN,2.268226
5,CHE,0.9363133
28,CHL,2.43489
23,CHN,2.1
38,COL,3.240234
25,CRI,2.221198
24,CZE,2.149495
15,DEU,1.732168
3,DNK,0.8136095
17,EA19,1.8
14,ESP,1.675068
39,EST,3.436327
19,EU28,1.9
8,FIN,1.083821
18,FRA,1.850815
37,G-20,3.167807
22,G-7,2.078811
27,GBR,2.3
2,GRC,0.6256205
35,HUN,2.850248
38,IDN,3.198346
42,IND,4.8607
1,IRL,0.4883702
33,ISL,2.682915
4,ISR,0.8148522
9,ITA,1.137488
6,JPN,0.9799037
10,KOR,1.475862
33,LTU,2.697928
11,LUX,1.528195
32,LVA,2.53446
43,MEX,4.899351
15,NLD,1.703498
34,NOR,2.764831
12,NZL,1.598298
32,OECD,2.59407
36,OECDE,3.040532
13,POL,1.666667
7,PRT,0.9937157
36,RUS,2.878305
30,SAU,2.465943
31,SVK,2.514037
16,SVN,1.738609
20,SWE,1.953535
44,TUR,16.33246
29,USA,2.442583
41,ZAF,4.504578
