Rank,Country,Value
14,AUS,112.6639264
23,AUT,119.64
10,BEL,109.415296
4,BRA,100.029783
33,CAN,128.2430009
7,CHE,106.709204
18,CHL,114.3679742
38,CHN,134.2679298
33,COL,128.0759076
36,CZE,130
27,DEU,121.6804201
20,DNK,114.8075
13,EA,111.8295312
15,EA17,113.6183343
22,ESP,118.5804645
21,EST,117.0660404
5,FIN,102.8850721
9,FRA,107.175
20,GBR,115.4253006
2,GRC,98.07398556
37,HUN,131.7425
11,IDN,109.9016291
28,IND,122.1108017
36,IRL,131.3492163
39,ISL,142.01
12,ISR,110.7238423
3,ITA,98.625
8,JPN,106.8784877
6,KOR,104.275383
30,LTU,123.18
24,LUX,119.86
35,LVA,129.3
32,MEX,125.9520652
31,NLD,123.61
16,NOR,113.975
32,NZL,125.5501561
20,OECD,116.7819458
15,POL,112.7425
34,PRT,129.0325
1,RUS,93.51591301
26,SVK,121.320533
29,SVN,122.4625
19,SWE,114.4975
38,TUR,134.8740506
25,USA,120.3252408
17,ZAF,114.2755899
