Rank,Country,Value
25,AUS,5.176857
13,AUT,2.13605
23,BEL,4.544028
19,CAN,3.852645
6,CHE,1.364783
20,CHL,4.31786
14,COL,2.146544
2,CZE,0.3762613
7,DEU,1.473009
3,DNK,1.183918
9,EA19,1.867391
11,ESP,2.004418
4,EST,1.215996
15,EU28,2.182264
21,FIN,4.469228
12,FRA,2.036745
18,GBR,3.374656
26,GRC,5.518046
24,HUN,4.978915
1,IRL,-2.436615
8,ITA,1.865918
27,LTU,5.518381
28,LUX,5.772144
20,LVA,3.951468
17,NLD,2.983858
30,NOR,6.443989
20,NZL,4.429499
15,POL,2.251666
16,PRT,2.652431
5,SVK,1.292597
10,SVN,1.994166
29,SWE,6.215559
22,USA,4.537406
